epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9584,1.04876,3.91636,1.59329,0.44704,0.55257,0.54329,0.44641,0.84365,2.0924,1.45728,0.000109832,0.000109832,0.000109832
2,178.421,0.88588,2.34323,1.39536,0.49509,0.69085,0.67089,0.53731,0.8626,1.73651,1.49856,0.0002099,0.0002099,0.0002099
3,269.662,0.89321,1.92066,1.39067,0.6654,0.62468,0.69813,0.53553,1.01936,1.58746,1.67918,0.00029898,0.00029898,0.00029898
4,356.459,0.87701,1.70733,1.36787,0.75889,0.67774,0.7933,0.62016,0.92764,1.23489,1.58087,0.00028355,0.00028355,0.00028355
5,442.783,0.86312,1.61225,1.36901,0.73994,0.75818,0.83081,0.65133,0.93199,1.13361,1.54718,0.000267066,0.000267066,0.000267066
6,531.937,0.82843,1.40649,1.32873,0.71095,0.83432,0.83839,0.68644,0.80186,1.03267,1.37419,0.000250583,0.000250583,0.000250583
7,622.152,0.78755,1.30654,1.29635,0.7844,0.83074,0.89809,0.70494,0.94353,0.96768,1.58154,0.000234099,0.000234099,0.000234099
8,711.947,0.77881,1.23818,1.28471,0.76754,0.74525,0.83576,0.64863,0.92835,1.00301,1.48436,0.000217616,0.000217616,0.000217616
9,797.542,0.77435,1.17678,1.27977,0.76757,0.8092,0.88134,0.69179,0.90948,0.84554,1.52171,0.000201132,0.000201132,0.000201132
10,884.316,0.75372,1.08182,1.264,0.78139,0.84446,0.91731,0.70962,1.01511,0.82414,1.59971,0.000184649,0.000184649,0.000184649
11,977.966,0.55652,0.57007,1.18759,0.86461,0.86581,0.93462,0.72766,0.96932,0.66393,1.61077,0.000168165,0.000168165,0.000168165
12,1068.94,0.53327,0.46643,1.16007,0.94012,0.8269,0.94147,0.73173,0.95662,0.68733,1.56407,0.000151682,0.000151682,0.000151682
13,1160.62,0.5202,0.42121,1.14636,0.90371,0.87364,0.95584,0.76891,0.89334,0.55535,1.49952,0.000135198,0.000135198,0.000135198
14,1258.01,0.50819,0.38578,1.1264,0.91708,0.89434,0.95464,0.77958,0.85551,0.53777,1.48553,0.000118714,0.000118714,0.000118714
15,1350.92,0.48253,0.36564,1.09906,0.90258,0.80043,0.93446,0.76479,0.78227,0.63735,1.35902,0.000102231,0.000102231,0.000102231
16,1442.91,0.47043,0.32768,1.08605,0.90455,0.8741,0.95012,0.78645,0.80251,0.51223,1.36439,8.57475e-05,8.57475e-05,8.57475e-05
17,1539.84,0.44963,0.29357,1.07063,0.90193,0.90346,0.94369,0.78825,0.77192,0.46439,1.36152,6.9264e-05,6.9264e-05,6.9264e-05
18,1636.89,0.43483,0.27191,1.05812,0.91601,0.90236,0.95388,0.78296,0.86183,0.4677,1.47195,5.27805e-05,5.27805e-05,5.27805e-05
19,1727.1,0.41712,0.25702,1.04363,0.91275,0.90209,0.95859,0.78341,0.83446,0.44776,1.43354,3.6297e-05,3.6297e-05,3.6297e-05
20,1817.21,0.39954,0.24117,1.0258,0.94814,0.89068,0.96037,0.81484,0.73973,0.40825,1.32181,1.98135e-05,1.98135e-05,1.98135e-05
