epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.181,1.00903,3.67361,1.5733,0.34493,0.61458,0.48273,0.38781,0.82143,2.62248,1.42806,0.000109832,0.000109832,0.000109832
2,252.295,0.94789,2.52918,1.47128,0.66467,0.4547,0.51069,0.35851,1.13117,2.92118,1.92005,0.0002099,0.0002099,0.0002099
3,374.461,0.9768,2.27698,1.47843,0.3746,0.5044,0.47825,0.36228,1.10835,2.50434,1.80931,0.00029898,0.00029898,0.00029898
4,496.96,0.95977,2.09404,1.44624,0.66075,0.49397,0.57514,0.4404,0.97217,2.11379,1.64329,0.00028355,0.00028355,0.00028355
5,620.166,0.93449,1.96287,1.43583,0.61888,0.66376,0.76068,0.61318,0.84638,1.37929,1.45076,0.000267066,0.000267066,0.000267066
6,745.514,0.88994,1.74262,1.38647,0.66601,0.70329,0.79709,0.63746,0.89888,1.24231,1.49558,0.000250583,0.000250583,0.000250583
7,873.269,0.86676,1.67023,1.36667,0.62452,0.74657,0.81735,0.62161,1.00178,1.30117,1.50491,0.000234099,0.000234099,0.000234099
8,999.374,0.8526,1.5471,1.3483,0.62026,0.75945,0.83419,0.62995,1.01273,1.2375,1.59256,0.000217616,0.000217616,0.000217616
9,1126.11,0.82524,1.47272,1.33367,0.69497,0.8479,0.88416,0.73716,0.78703,0.90374,1.34293,0.000201132,0.000201132,0.000201132
10,1254.34,0.80941,1.33584,1.31233,0.80177,0.78323,0.8872,0.71328,0.89421,0.92887,1.42853,0.000184649,0.000184649,0.000184649
11,1382.74,0.58696,0.78012,1.23003,0.86925,0.83403,0.91434,0.71629,0.97568,0.73373,1.5218,0.000168165,0.000168165,0.000168165
12,1506.18,0.54911,0.60948,1.17956,0.91003,0.81386,0.93696,0.74188,0.8919,0.69734,1.4183,0.000151682,0.000151682,0.000151682
13,1637.91,0.54666,0.56136,1.17311,0.89172,0.8549,0.94908,0.75503,0.89917,0.67943,1.46301,0.000135198,0.000135198,0.000135198
14,1769.54,0.52381,0.50521,1.14484,0.88249,0.86914,0.94615,0.74365,0.99566,0.68495,1.55782,0.000118714,0.000118714,0.000118714
15,1895.59,0.50115,0.45754,1.12576,0.82989,0.87292,0.92163,0.7533,0.85114,0.65699,1.40196,0.000102231,0.000102231,0.000102231
16,2020.69,0.48449,0.41722,1.10385,0.91908,0.86683,0.95175,0.76476,0.88423,0.59219,1.42763,8.57475e-05,8.57475e-05,8.57475e-05
17,2152.16,0.47474,0.35554,1.09711,0.87899,0.88636,0.95049,0.77749,0.84615,0.56557,1.37932,6.9264e-05,6.9264e-05,6.9264e-05
18,2278.33,0.45734,0.33545,1.08149,0.90934,0.90699,0.95604,0.77143,0.84872,0.50403,1.39915,5.27805e-05,5.27805e-05,5.27805e-05
19,2399.71,0.43794,0.30636,1.06072,0.93162,0.90867,0.96668,0.77802,0.87925,0.48397,1.43077,3.6297e-05,3.6297e-05,3.6297e-05
20,2527.37,0.42322,0.28269,1.04745,0.94037,0.90381,0.96503,0.81656,0.75083,0.44508,1.27154,1.98135e-05,1.98135e-05,1.98135e-05
